ProdNbr_c,Commodity_c,FunctionDesignation_c,ProdName_c,ProdNetWeight_n,ProdNetWeightNbr_n,ManId_c,ManDesignation_c,MC_n,ManStatus_c,ROHSStatus_c,SolderingProcess_c,MaxSolderingTemp_n,ASGId_n,LeadTime_n,LeadTimewithForecast_n,SupplierManufacturingRisk_n,SupplierAggregatedRisk_n,CommercialAggregatedRisk_n,TechnicalAggregatedRisk_n,RecoveryTimeweeks_n,Rampuptimetofullproductionfromfirstdeliveryweeks_n,MRPVol_n,AvgPriceLatestYearUSD_n,Volume_n,target_c
30,6,77,5,0,0,47,449,1,1,1,1,260.0,418.0,45.0,20.0,3.0,3.0,3.0,3.0,15.0,8.0,903.0,0.96,870.0,4
30,6,77,5,0,0,47,447,6,1,1,1,265.0,418.0,0,0,0,0,0,0,0,0,903.0,0.96,870.0,4
30,6,77,5,0,0,47,448,6,1,1,1,260.0,418.0,0,0,0,0,0,0,0,0,903.0,0.96,870.0,4
31,6,102,5,1504459.0,100000.0,52,530,6,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,1160.0,1.58687,1680.0,4
31,6,102,5,1504459.0,100000.0,52,565,1,1,1,2,260.0,96.0,40.0,20.0,4.0,2.0,2.0,2.0,8.0,8.0,1160.0,1.58687,1680.0,4
32,6,103,5,2111.0,100.0,52,529,6,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,2320.0,1.63805,3360.0,4
32,6,103,5,2111.0,100.0,52,564,1,1,1,2,260.0,96.0,40.0,20.0,3.0,1.0,1.0,1.0,3.0,3.0,2320.0,1.63805,3360.0,4
32,6,103,5,2111.0,100.0,32,83,4,1,1,1,265.0,18167.0,0,0,0,0,0,0,0,0,2320.0,1.63805,0,4
33,6,104,5,15299025.0,1000000.0,52,566,1,1,1,1,260.0,96.0,40.0,20.0,3.0,1.0,1.0,1.0,3.0,3.0,960.0,1.77795,1440.0,4
33,6,104,5,15299025.0,1000000.0,32,106,4,1,1,1,265.0,18167.0,0,0,0,0,0,0,0,0,960.0,1.77795,0,4
34,6,325,5,0,0,32,284,1,1,1,1,260.0,18167.0,70.0,10.0,4.0,2.0,2.0,2.0,8.0,2.0,0,1.2830000000000001,570.0,3
35,6,327,5,156057.0,10000.0,32,285,1,1,1,1,260.0,18167.0,84.0,10.0,2.0,2.0,0,2.0,8.0,4.0,0,0,0,3
35,6,327,5,156057.0,10000.0,32,370,6,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,3
36,6,326,5,97275.0,10000.0,32,93,1,1,1,0,265.0,18167.0,84.0,10.0,4.0,2.0,2.0,1.0,8.0,2.0,1728.0,1.48,840.0,3
